Name,id,lat,long
Loviisan satama,106,60.418261,26.247612
Luikonlahti,411,62.927654,28.6752
Lusto,690,61.800548,29.322269
Luumäki,487,60.944407,27.761801
Länkipohja,203,61.740823,24.813105
Maanselkä,382,63.882203,28.499352
Maaria,1166,60.538524,22.365622
Madesjärvi,217,62.3116,22.987474
Majajärvi,1168,61.682946,23.469457
Malmi,17,60.25166,25.011468
Malminkartano,659,60.249316,24.861283
Mankala,1336,60.916315,26.182911
Markkala,896,62.54004,27.190465
Martinlaakso,662,60.27808,24.852604
Masala,64,60.158661,24.539106
Matkaneva,1171,63.84089,23.348859
Mattila,1172,61.261133,23.758953
Melalahti,1355,64.412901,27.659328
Metsäkansa,558,61.234303,23.884586
Mikkeli,546,61.687818,27.277969
Misi,366,66.617923,26.687235
Mommila,93,60.821177,25.075141
Moskova_(Leningradski),6007,59.946584,30.379968
Muhos,375,64.805398,25.991997
Mukkula,594,61.005746,25.657807
Murtomäki,386,64.064426,27.579581
Mustio,78,60.140408,23.868437
Mustolan satama,77,61.055862,28.335587
Muukko,1180,61.088163,28.341566
Muurame,433,62.110893,25.651352
Muurola,363,66.370875,25.37511
Myllykangas,1183,65.535747,25.272566
Myllykoski,536,60.770062,26.787577
Myllymäki,263,62.524753,24.280965
Myllyoja,606,61.16369,25.989681
Mynttilä,543,61.487261,26.923895
Mynämäki,123,60.650417,21.964129
Myyrmäki,660,60.261327,24.854751
Mäkkylä,693,60.22131,24.842976
Mäntsälä,27,60.647258,25.307475
Mänttä,198,62.029018,24.646888
Mäntyharju,544,61.421104,26.881746
Mäntyluoto,223,61.58996,21.511964
Naantali,124,60.469929,22.040037
Naarajärvi,895,62.283143,27.045557
Nakkila,672,61.387035,21.969594
Nastola,595,60.935567,25.935467
Niemenpää,1185,66.165558,23.92106
Niinimaa,285,62.642246,23.420637
Niinimäki,1324,60.877915,26.384374
Niinisalo,227,61.844661,22.481919
Niirala,446,62.175021,30.600268
Niirala-raja,445,62.170426,30.632051
Niittylahti,917,62.51221,29.845911
Nikkilä,22,60.38237,25.26654
Niska,1353,64.631387,26.543501
Nivala,328,63.936389,24.960768
Nokia,181,61.481059,23.49917
Nummela,84,60.328751,24.316922
Nurmes,472,63.541078,29.137234
Närpiä,268,62.468168,21.363959
Ohenmäki,1190,63.494989,27.266604
Oitti,92,60.789806,25.021316
Olli,570,60.382804,25.374228
Onttola,443,62.635524,29.700477
Orimattila,109,60.814493,25.748738
Orivesi,190,61.650095,24.368047
Orivesi keskusta,1316,61.673906,24.369838
Otanmäki,385,64.112027,27.092351
Otava,545,61.640827,27.071576
Oulainen,322,64.269509,24.82098
Oulu asema,370,65.012409,25.486121
Oulu Nokela,1195,64.989283,25.475726
Oulu Oritkari,1196,64.98925,25.452448
Oulu tavara,1197,65.000913,25.470291
Oulu Tuira,339,65.02871,25.474942
Oulunkylä,15,60.229,24.967676
Oulunlahti,1351,64.962428,25.504832
Paimenportti,768,60.475938,26.919345
Paimio,128,60.459453,22.685879
Palopuro,562,60.601471,24.906231
Paltamo,379,64.40061,27.82218
Pankakoski,935,63.321127,30.12173
Parikkala,510,61.55855,29.502884
Parkano,215,62.051967,23.078439
Parola,49,61.049922,24.366497
Pasila asema,10,60.198689,24.933521
Pasila autojuna-asema,1328,60.208303,24.933169
Pasila tavara,1034,60.212086,24.934411
Patokangas,1346,66.724902,27.519974
Pelkola,1055,61.13426,28.813728
Pello,356,66.78466,23.993374
Peltosalmi,882,63.520846,27.246161
Peräseinäjoki,687,62.549545,22.941988
Pesiäkylä,393,64.926213,28.569552
Petroskoi / Petrozavodsk,1000,62.11698,32.176808
Petäjävesi,237,62.256974,25.189337
Pieksämäki asema,400,62.301253,27.16753
Pieksämäki lajittelu,1210,62.324528,27.175321
Pieksämäki tavara,1211,62.335855,27.182414
Pieksämäki Temu,1212,62.31317,27.169853
Pietari_(Finljandski),3820,59.971855,30.307694
Pietarsaari,306,63.674326,22.714689
Pihlajavesi,261,62.346234,24.395608
Pihtipudas,258,63.371806,25.556278
Piikkiä,127,60.423105,22.51586
Pikkarala,819,64.912694,25.754062
Pitkämäki,1350,63.570689,29.060715
Pitäjänmäki,69,60.223412,24.859649
Pohjankuru,59,60.098215,23.551872
Pohjois-Haaga,657,60.230078,24.883252
Pohjois-Louko,1214,62.646837,22.941522
Poikkeus,1216,61.989112,23.137954
Poiksilta,965,61.790643,29.741895
Pori,220,61.477212,21.786607
Porokylä,473,63.555702,29.099672
Porvoo,23,60.396602,25.648462
Puhos,919,62.088594,29.976082
Puistola,553,60.276313,25.036683
Pukinmäki,551,60.242216,24.993288
Pulsa,1217,60.927309,27.972716
Punkaharju,517,61.761151,29.382354
Purola,564,60.500329,25.050225
Pyhäkumpu,757,63.662046,26.042336
Pyhäkumpu erkanemisvaihde,1218,63.677555,26.030169
Pyhäsalmi,331,63.682935,25.982615
Pännäinen,305,63.595382,22.790363
